created_at,edge_type,src_party,src_wing,dst_party,dst_wing,src_account,dst_account,full_text,preds_binary,preds_prob
2019-05-26 16:33:59+00:00,free_mentions,Hadash Taal,Left,Likud,Right,Ahmad_tibi,IsraeliPM,@Moss50044575 כשאנשים כמוך נושאים עיניהם אליי אני חייב לחשוב פעמיים ..אני רוצה לקצר את חיי הממשלה המתהווה הזו או באמצעות בחירות או שנתניהו יילך לנשיא ויודיע שנכשל למרות שזה נראה ספין והוא יצליח לפני יום המועד הנקוב ביום ד,1,0.9072021
2019-05-26 16:33:59+00:00,free_mentions,Hadash Taal,Left,Likud,Right,Ahmad_tibi,netanyahu,@Moss50044575 כשאנשים כמוך נושאים עיניהם אליי אני חייב לחשוב פעמיים ..אני רוצה לקצר את חיי הממשלה המתהווה הזו או באמצעות בחירות או שנתניהו יילך לנשיא ויודיע שנכשל למרות שזה נראה ספין והוא יצליח לפני יום המועד הנקוב ביום ד,1,0.9072021
2019-05-26 16:24:13+00:00,free_mentions,Hadash Taal,Left,Likud,Right,Ahmad_tibi,IsraeliPM,מחר נתכנס כל סיעות האופוזיציה בשעה 13:00 ונתייעץ גם איך ננהג יחד מול הספין של נתניהו לגבי פיזור הכנסת בהצבעה טרומית ( אם בכלל זה יעלה). .,0,0.9957282
2019-05-26 16:24:13+00:00,free_mentions,Hadash Taal,Left,Likud,Right,Ahmad_tibi,netanyahu,מחר נתכנס כל סיעות האופוזיציה בשעה 13:00 ונתייעץ גם איך ננהג יחד מול הספין של נתניהו לגבי פיזור הכנסת בהצבעה טרומית ( אם בכלל זה יעלה). .,0,0.9957282
2019-05-26 12:20:19+00:00,quoted_status,Hadash Taal,Left,Likud,Right,Ahmad_tibi,zoharm7,"גם אם מדובר בספין, מאז הבחירות לכנסת ה21 גרמתם ותגרמו נזקים רבים ולכן יש לפזרה היום לפני מחר.נתמוך בפיזור. ואגב: when you have to shoot shoot don't talk https://t.co/h0DQwKbXbF",0,0.8645191
2019-05-20 10:47:32+00:00,quoted_status,Hadash Taal,Left,Hadash Taal,Left,Ahmad_tibi,Ahmad_tibi,@BenCaspit https://t.co/XFPoa844re.   בן לעיונך..,1,0.500717
2019-05-20 05:21:05+00:00,free_mentions,Hadash Taal,Left,Hadash Taal,Left,Ahmad_tibi,Ahmad_tibi,רצח רביעי תוך שלושה ימים במגזר הערבי: בן 33 נורה למוות בבאקה אל גרבייה | טיבי: המשטרה הצליחה בנתניה ובנהריה . לא כך ביישובים הערביים. היא יכולה יותר. https://t.co/sj3FffxpPk,1,0.9555669
2019-05-19 20:00:21+00:00,free_mentions,Hadash Taal,Left,Avoda,Left,Ahmad_tibi,Syechimovich,מבדיקה שלי מול משפחתה של הילדה עאישה אללולו ומול הפקידים הפלסטינים שהגישו את הבקשות: הוגשו בקשות לאמא ולשתי דודות. שתי הדודות נדחו ובקשת האמא שהוגשה לפני הניתוח בירושלים לא נענתה . כך שמתברר שיש סירוב למעשה ל3 קרובי משפחה. לאור הסירוב לשתי הדודות נשלחה איתה מלווה אחרת. למה ?!?,0,0.6066763
2019-05-19 09:00:56+00:00,free_mentions,Hadash Taal,Left,Avoda,Left,Ahmad_tibi,HavodaParty,1)*תאונות העבודה הם נטו מחדל בטיחותי ורשלנות פושעת* .האם העובדה ש90%  מהקורבנות הם ערביים (ועובדים זרים) היא הסיבה לכך? המחסור בפקחי בטיחות זועק לשמיים.,0,0.8985565
2019-05-27 16:28:08+00:00,free_mentions,Hadash Taal,Left,Likud,Right,AidaTuma,IsraeliPM,נמנענו מלהצביע נגד או בעד הספין של נתניהו והסחטנות שלו. תמיד נהיה בצד של הפלת כל ממשלת ימין במיוחד גזענית וחסרת גבולות בדומה לזו שהסתמנה עד לפני רגע! מוכנים ורוצים בחירות אך לא יכולנו - ערכית ופוליטית- להתנגד להפלת הגזען המושחת וגם לא לשחק לידיו.,1,0.9515841
